id_predio,colonia,superficie_terreno,superficie_construccion,valor_unitario_suelo,subsidio,density,modernity_score,anio_construccion,indice_inversion,cluster
87,DEL CARMEN,61.0,168.0,5389.03,1040.69,2.7540983606557377,0.21739130434782608,1965.0,0.7518268300706827,1
88,DEL CARMEN,61.0,168.0,5389.03,1040.69,2.7540983606557377,0.2753623188405797,1969.0,0.7518268300706827,1
89,DEL CARMEN,61.0,168.0,5389.03,608.62,2.7540983606557377,0.6521739130434783,1995.0,0.7518268300706827,1
90,DEL CARMEN,61.0,168.0,5389.03,608.62,2.7540983606557377,0.6521739130434783,1995.0,0.7518268300706827,1
91,DEL CARMEN,61.0,168.0,5389.03,608.62,2.7540983606557377,0.6521739130434783,1995.0,0.7518268300706827,1
93,DEL CARMEN,61.0,168.0,5389.03,789.95,2.7540983606557377,0.6811594202898551,1997.0,0.7518268300706827,1
94,DEL CARMEN,61.0,168.0,5389.03,1040.69,2.7540983606557377,0.21739130434782608,1965.0,0.7518268300706827,1
95,DEL CARMEN,32.0,90.0,5389.03,440.74,2.8125,0.21739130434782608,1965.0,0.7479456436522298,0
96,DEL CARMEN,170.0,259.0,5389.03,555.49,1.5235294117647058,0.21739130434782608,1965.0,0.8336065120287863,0
97,DEL CARMEN,169.35,211.83,5389.03,1877.35,1.250841452612932,0.42028985507246375,1979.0,0.8517284828402008,0
98,DEL CARMEN,457.36,411.49,5389.03,0.0,0.89970701416827,0.36231884057971014,1975.0,0.8750637561106825,0
99,DEL CARMEN,296.0,389.0,5389.03,0.0,1.3141891891891893,0.2318840579710145,1966.0,0.8475185945973351,0
100,DEL CARMEN,322.41,315.41,5389.03,0.0,0.9782885146242363,0.2898550724637681,1970.0,0.8698414805763691,0
101,DEL CARMEN,124.0,195.0,5389.03,592.79,1.5725806451612903,0.6666666666666666,1996.0,0.8303467237248148,0
102,DEL CARMEN,120.0,166.0,5389.03,603.05,1.3833333333333333,0.2753623188405797,1969.0,0.8429234956209882,0
104,DEL CARMEN,196.49,248.5,5389.03,0.0,1.264695404346277,0.3333333333333333,1973.0,0.8508077934569388,0
105,DEL CARMEN,210.73,236.55,5389.03,955.1,1.1225264556541548,0.3333333333333333,1973.0,0.8602558877054061,0
107,DEL CARMEN,36.0,123.0,5389.03,917.13,3.4166666666666665,0.37681159420289856,1976.0,0.7077946566683525,1
108,DEL CARMEN,23.0,81.0,5389.03,0.0,3.5217391304347827,0.2318840579710145,1966.0,0.7008118763233303,1
110,DEL CARMEN,36.0,123.0,5389.03,917.13,3.4166666666666665,0.37681159420289856,1976.0,0.7077946566683525,1
111,DEL CARMEN,31.0,106.0,5389.03,687.62,3.4193548387096775,0.30434782608695654,1971.0,0.7076160093402819,1
112,DEL CARMEN,36.0,123.0,5389.03,917.13,3.4166666666666665,0.37681159420289856,1976.0,0.7077946566683525,1
113,DEL CARMEN,31.0,106.0,5389.03,687.62,3.4193548387096775,0.30434782608695654,1971.0,0.7076160093402819,1
114,DEL CARMEN,114.0,96.0,5389.03,801.86,0.8421052631578947,0.4782608695652174,1983.0,0.8788917845052748,0
115,DEL CARMEN,36.0,123.0,5389.03,917.13,3.4166666666666665,0.37681159420289856,1976.0,0.7077946566683525,1
117,DEL CARMEN,127.0,280.0,5389.03,572.6,2.204724409448819,0.391304347826087,1977.0,0.7883364681907219,0
119,DEL CARMEN,56.0,169.0,5389.03,582.26,3.017857142857143,0.2318840579710145,1966.0,0.7342982638399761,1
120,DEL CARMEN,48.0,48.0,5389.03,0.0,1.0,0.2463768115942029,1967.0,0.8683986046038622,0
121,DEL CARMEN,29.0,102.0,5389.03,481.57,3.5172413793103448,0.2463768115942029,1967.0,0.7011107824974336,1
123,DEL CARMEN,60.0,90.0,5389.03,613.98,1.5,0.2463768115942029,1967.0,0.8351702015827223,0
124,DEL CARMEN,61.0,211.0,5389.03,691.6,3.459016393442623,0.2463768115942029,1967.0,0.7049802290900592,1
128,DEL CARMEN,305.0,397.0,5389.03,0.0,1.301639344262295,0.42028985507246375,1979.0,0.8483526172075024,0
130,DEL CARMEN,275.0,234.0,5389.03,0.0,0.850909090909091,0.3333333333333333,1973.0,0.8783067102319838,0
133,DEL CARMEN,100.0,80.0,5389.03,759.33,0.8,0.7391304347826086,2001.0,0.8816899658123182,0
134,DEL CARMEN,100.0,80.0,5389.03,759.33,0.8,0.7391304347826086,2001.0,0.8816899658123182,0
135,DEL CARMEN,100.0,80.0,5389.03,759.33,0.8,0.7391304347826086,2001.0,0.8816899658123182,0
136,DEL CARMEN,100.0,80.0,5389.03,759.33,0.8,0.7391304347826086,2001.0,0.8816899658123182,0
137,DEL CARMEN,100.0,80.0,5389.03,759.33,0.8,0.7391304347826086,2001.0,0.8816899658123182,0
138,DEL CARMEN,483.98,436.78,5389.03,0.0,0.9024753088970617,0.43478260869565216,1980.0,0.8748797840848234,0
139,DEL CARMEN,136.0,106.0,5389.03,666.18,0.7794117647058824,0.2898550724637681,1970.0,0.8830581941720121,0
140,DEL CARMEN,83.0,286.0,5389.03,564.37,3.4457831325301207,0.2318840579710145,1966.0,0.7058596693438283,1
141,DEL CARMEN,73.0,253.0,5389.03,690.45,3.4657534246575343,0.3188405797101449,1972.0,0.704532507513309,1
142,DEL CARMEN,45.0,145.0,5389.03,1013.98,3.2222222222222223,0.43478260869565216,1980.0,0.7207168133987958,1
143,DEL CARMEN,53.0,182.0,5389.03,875.92,3.4339622641509435,0.2318840579710145,1966.0,0.7066452465009545,1
144,DEL CARMEN,51.0,178.0,5389.03,614.87,3.4901960784313726,0.2318840579710145,1966.0,0.7029081268123025,1
145,DEL CARMEN,151.0,117.0,5389.03,1457.68,0.7748344370860927,0.2318840579710145,1966.0,0.8833623887458325,0
150,DEL CARMEN,186.0,77.0,5389.03,744.84,0.41397849462365593,0.30434782608695654,1971.0,0.9073437221232628,0
151,DEL CARMEN,261.0,278.0,5389.03,0.0,1.0651340996168583,0.37681159420289856,1976.0,0.864070000378886,0
152,DEL CARMEN,260.0,317.0,5389.03,0.0,1.2192307692307693,0.21739130434782608,1965.0,0.8538292278945931,0
153,DEL CARMEN,268.35,347.38,5389.03,0.0,1.29450344699087,0.30434782608695654,1971.0,0.8488268461484071,0
155,DEL CARMEN,112.0,232.0,5389.03,573.38,2.0714285714285716,0.3333333333333333,1973.0,0.7971948838442766,0
156,DEL CARMEN,100.0,191.0,5389.03,871.04,1.91,0.21739130434782608,1965.0,0.8079229111053875,0
157,DEL CARMEN,311.18,314.74,5389.03,0.0,1.011440323928273,0.2898550724637681,1970.0,0.8676383172155001,0
158,DEL CARMEN,189.0,252.0,5389.03,604.57,1.3333333333333333,0.5072463768115942,1985.0,0.8462463359231022,0
159,DEL CARMEN,254.71,396.3,5389.03,0.0,1.5558870872757253,0.391304347826087,1977.0,0.8314561242633713,0
160,DEL CARMEN,227.0,147.0,5389.03,761.82,0.6475770925110133,0.2463768115942029,1967.0,0.8918195054117142,0
161,DEL CARMEN,248.0,318.0,5389.03,0.0,1.282258064516129,0.30434782608695654,1971.0,0.8496406351564445,0
162,DEL CARMEN,214.0,199.0,5389.03,683.44,0.9299065420560748,0.5652173913043478,1989.0,0.8730567919432743,0
163,DEL CARMEN,40.0,137.0,5389.03,804.05,3.425,0.2318840579710145,1966.0,0.7072408499513335,1
164,DEL CARMEN,39.0,133.0,5389.03,771.54,3.41025641025641,0.2753623188405797,1969.0,0.7082206618352902,1
165,DEL CARMEN,40.0,138.0,5389.03,810.51,3.45,0.2318840579710145,1966.0,0.7055794298002764,1
166,DEL CARMEN,39.0,136.0,5389.03,790.92,3.4871794871794872,0.2463768115942029,1967.0,0.7031085998320379,1
168,DEL CARMEN,366.49,443.22,5389.03,0.0,1.2093645119921417,0.36231884057971014,1975.0,0.8544849078382638,0
169,DEL CARMEN,257.0,355.0,5389.03,0.0,1.3813229571984436,0.34782608695652173,1974.0,0.8430570987978566,0
234,DEL CARMEN,32.0,109.0,5389.03,737.68,3.40625,0.42028985507246375,1979.0,0.7084869150646262,1
235,DEL CARMEN,32.0,109.0,5389.03,893.39,3.40625,0.6376811594202898,1994.0,0.7084869150646262,1
236,DEL CARMEN,34.0,116.0,5389.03,840.16,3.411764705882353,0.463768115942029,1982.0,0.7081204253254225,1
237,DEL CARMEN,30.0,105.0,5389.03,612.34,3.5,0.30434782608695654,1971.0,0.7022565894981625,1
238,DEL CARMEN,34.0,116.0,5389.03,840.16,3.411764705882353,0.463768115942029,1982.0,0.7081204253254225,1
239,DEL CARMEN,34.0,116.0,5389.03,840.16,3.411764705882353,0.463768115942029,1982.0,0.7081204253254225,1
240,DEL CARMEN,32.0,109.0,5389.03,737.68,3.40625,0.42028985507246375,1979.0,0.7084869150646262,1
241,DEL CARMEN,34.0,116.0,5389.03,840.16,3.411764705882353,0.463768115942029,1982.0,0.7081204253254225,1
242,DEL CARMEN,32.0,109.0,5389.03,737.68,3.40625,0.42028985507246375,1979.0,0.7084869150646262,1
243,DEL CARMEN,32.0,109.0,5389.03,737.68,3.40625,0.42028985507246375,1979.0,0.7084869150646262,1
244,DEL CARMEN,29.0,99.0,5389.03,579.88,3.413793103448276,0.30434782608695654,1971.0,0.7079856245018074,1
245,DEL CARMEN,29.0,99.0,5389.03,618.81,3.413793103448276,0.391304347826087,1977.0,0.7079856245018074,1
246,DEL CARMEN,32.0,109.0,5389.03,737.68,3.40625,0.42028985507246375,1979.0,0.7084869150646262,1
247,DEL CARMEN,22.0,92.0,5389.03,564.71,4.181818181818182,0.6231884057971014,1993.0,0.6569451308329717,1
248,DEL CARMEN,32.0,109.0,5389.03,737.68,3.40625,0.42028985507246375,1979.0,0.7084869150646262,1
249,DEL CARMEN,34.0,116.0,5389.03,840.16,3.411764705882353,0.463768115942029,1982.0,0.7081204253254225,1
250,DEL CARMEN,29.0,99.0,5389.03,579.88,3.413793103448276,0.30434782608695654,1971.0,0.7079856245018074,1
251,DEL CARMEN,29.0,99.0,5389.03,579.88,3.413793103448276,0.30434782608695654,1971.0,0.7079856245018074,1
252,DEL CARMEN,34.0,116.0,5389.03,840.16,3.411764705882353,0.463768115942029,1982.0,0.7081204253254225,1
253,DEL CARMEN,34.0,116.0,5389.03,840.16,3.411764705882353,0.463768115942029,1982.0,0.7081204253254225,1
254,DEL CARMEN,29.0,99.0,5389.03,579.88,3.413793103448276,0.30434782608695654,1971.0,0.7079856245018074,1
255,DEL CARMEN,145.0,75.89,5389.03,0.0,0.5233793103448275,0.15942028985507245,1961.0,0.9000732933320136,0
257,DEL CARMEN,145.0,66.07,5389.03,0.0,0.45565517241379305,0.15942028985507245,1961.0,0.9045740232308771,0
265,DEL CARMEN,339.0,331.0,5389.03,0.0,0.976401179941003,0.30434782608695654,1971.0,0.8699669068113496,0
269,DEL CARMEN,326.0,374.0,5389.03,0.0,1.147239263803681,0.43478260869565216,1980.0,0.8586135534074529,0
273,DEL CARMEN,211.0,259.0,5389.03,583.52,1.2274881516587677,0.6231884057971014,1993.0,0.8532804686321587,0
274,DEL CARMEN,184.0,344.0,5389.03,599.49,1.8695652173913044,0.5072463768115942,1985.0,0.8106100776105754,0
275,DEL CARMEN,200.0,302.0,5389.03,0.0,1.51,0.34782608695652173,1974.0,0.8345056335222996,0
276,DEL CARMEN,224.0,214.0,5389.03,599.68,0.9553571428571429,0.5362318840579711,1987.0,0.8713654263021782,0
277,DEL CARMEN,175.0,229.0,5389.03,1282.62,1.3085714285714285,0.21739130434782608,1965.0,0.8478919330251016,0
278,DEL CARMEN,223.0,305.0,5389.03,582.82,1.3677130044843049,0.2318840579710145,1966.0,0.8439615727856248,0
279,DEL CARMEN,190.0,381.0,5389.03,0.0,2.0052631578947366,0.43478260869565216,1980.0,0.8015920258982019,0
281,DEL CARMEN,173.03,179.21,5389.03,0.0,1.0357163497659365,0.6376811594202898,1994.0,0.866025010074929,0
283,DEL CARMEN,259.0,221.0,5389.03,0.0,0.8532818532818532,0.43478260869565216,1980.0,0.8781490240231927,0
284,DEL CARMEN,213.0,357.0,5389.03,0.0,1.676056338028169,0.2898550724637681,1970.0,0.8234700596738702,0
285,DEL CARMEN,190.23,318.07,5389.03,0.0,1.672028596961573,0.4782608695652174,1983.0,0.8237377304807214,0
286,DEL CARMEN,158.0,280.0,5389.03,1749.01,1.7721518987341771,0.2318840579710145,1966.0,0.8170838556345069,0
287,DEL CARMEN,192.0,319.0,5389.03,0.0,1.6614583333333333,0.4057971014492754,1978.0,0.8244401964404792,0
288,DEL CARMEN,180.0,267.0,5389.03,0.0,1.4833333333333334,0.6376811594202898,1994.0,0.8362778150167602,0
289,DEL CARMEN,183.0,224.0,5389.03,645.24,1.2240437158469946,0.2608695652173913,1968.0,0.8535093748348268,0
290,DEL CARMEN,204.0,383.0,5389.03,0.0,1.8774509803921569,0.2463768115942029,1967.0,0.8100860149883322,0
291,DEL CARMEN,148.14,317.97,5389.03,0.0,2.1464155528554074,0.5652173913043478,1989.0,0.7922114885638972,0
292,DEL CARMEN,368.0,394.0,5389.03,0.0,1.0706521739130435,0.2318840579710145,1966.0,0.8637032867856577,0
293,DEL CARMEN,310.0,205.0,5389.03,0.0,0.6612903225806451,0.391304347826087,1977.0,0.8909081679407636,0
294,DEL CARMEN,292.0,318.0,5389.03,0.0,1.0890410958904109,0.5217391304347826,1986.0,0.8624812177644811,0
295,DEL CARMEN,305.0,369.0,5389.03,0.0,1.2098360655737705,0.2318840579710145,1966.0,0.8544535698933511,0
296,DEL CARMEN,238.0,160.0,5389.03,669.37,0.6722689075630253,0.42028985507246375,1979.0,0.8901785662479706,0
297,DEL CARMEN,170.64,239.86,5389.03,0.0,1.4056493202062825,0.43478260869565216,1980.0,0.8414404464097306,0
298,DEL CARMEN,227.0,366.0,5389.03,0.0,1.6123348017621146,0.2463768115942029,1967.0,0.8277047894502194,0
300,DEL CARMEN,42.0,76.0,5389.03,410.09,1.8095238095238095,0.463768115942029,1982.0,0.8146002378077309,0
301,DEL CARMEN,48.0,105.0,5389.03,556.5,2.1875,0.6956521739130435,1998.0,0.7894811474286549,0
302,DEL CARMEN,55.0,105.0,5389.03,769.13,1.9090909090909092,0.2898550724637681,1970.0,0.8079833263836078,0
303,DEL CARMEN,35.0,76.0,5389.03,487.31,2.1714285714285713,0.4492753623188406,1981.0,0.7905492032400486,0
304,DEL CARMEN,42.0,81.0,5389.03,424.27,1.9285714285714286,0.43478260869565216,1980.0,0.8066887132788879,0
305,DEL CARMEN,28.0,62.0,5389.03,369.09,2.2142857142857144,0.463768115942029,1982.0,0.7877010544096652,0
306,DEL CARMEN,55.0,105.0,5389.03,769.13,1.9090909090909092,0.2898550724637681,1970.0,0.8079833263836078,0
307,DEL CARMEN,55.0,105.0,5389.03,769.13,1.9090909090909092,0.2898550724637681,1970.0,0.8079833263836078,0
308,DEL CARMEN,35.0,98.0,5389.03,442.9,2.8,0.6521739130434783,1995.0,0.7487763537277585,1
309,DEL CARMEN,90.0,132.0,5389.03,590.15,1.4666666666666666,0.6521739130434783,1995.0,0.8373854284507983,0
310,DEL CARMEN,146.0,167.0,5389.03,643.68,1.143835616438356,0.2898550724637681,1970.0,0.8588397489402466,0
311,DEL CARMEN,118.0,142.0,5389.03,724.84,1.2033898305084745,0.2898550724637681,1970.0,0.8548819660867882,0
312,DEL CARMEN,146.0,167.0,5389.03,643.68,1.143835616438356,0.2898550724637681,1970.0,0.8588397489402466,0
314,DEL CARMEN,415.0,258.0,5389.03,0.0,0.6216867469879518,0.463768115942029,1982.0,0.8935400950825079,0
324,DEL CARMEN,194.84,308.89,5389.03,0.0,1.5853520837610346,0.6811594202898551,1997.0,0.8294979747069108,0
326,DEL CARMEN,173.17,281.92,5389.03,0.0,1.627995611249062,0.6376811594202898,1994.0,0.8266640220716803,0
327,DEL CARMEN,183.76,275.88,5389.03,0.0,1.501306051371354,0.2463768115942029,1967.0,0.8350834055800549,0
329,DEL CARMEN,404.6,366.58,5389.03,0.0,0.9060306475531388,0.2318840579710145,1966.0,0.8746435076333419,0
330,DEL CARMEN,401.0,409.0,5389.03,0.0,1.0199501246882794,0.5072463768115942,1985.0,0.8670727830369339,0
331,DEL CARMEN,149.03,209.56,5389.03,645.9,1.4061598335905523,0.4492753623188406,1981.0,0.8414065193207703,0
333,DEL CARMEN,208.0,208.0,5389.03,0.0,1.0,0.3333333333333333,1973.0,0.8683986046038622,0
335,DEL CARMEN,66.0,90.0,5389.03,482.49,1.3636363636363635,0.2318840579710145,1966.0,0.8442324933157604,0
336,DEL CARMEN,66.0,74.0,5389.03,431.75,1.121212121212121,0.2318840579710145,1966.0,0.8603432341744949,0
337,DEL CARMEN,138.0,179.0,5389.03,680.06,1.2971014492753623,0.2318840579710145,1966.0,0.8486541912144892,0
338,DEL CARMEN,66.0,89.0,5389.03,479.32,1.3484848484848484,0.2318840579710145,1966.0,0.8452394146194313,0
339,DEL CARMEN,66.0,89.0,5389.03,479.32,1.3484848484848484,0.2318840579710145,1966.0,0.8452394146194313,0
340,DEL CARMEN,66.0,74.0,5389.03,431.75,1.121212121212121,0.2318840579710145,1966.0,0.8603432341744949,0
341,DEL CARMEN,66.0,83.0,5389.03,460.29,1.2575757575757576,0.2318840579710145,1966.0,0.8512809424414567,0
342,DEL CARMEN,66.0,74.0,5389.03,431.75,1.121212121212121,0.2318840579710145,1966.0,0.8603432341744949,0
343,DEL CARMEN,66.0,90.0,5389.03,482.49,1.3636363636363635,0.2318840579710145,1966.0,0.8442324933157604,0
344,DEL CARMEN,138.0,164.0,5389.03,650.13,1.1884057971014492,0.2318840579710145,1966.0,0.85587775708865,0
345,DEL CARMEN,171.71,282.08,5389.03,0.0,1.6427697862675439,0.36231884057971014,1975.0,0.8256821775880423,0
350,DEL CARMEN,37.24,111.74,5389.03,510.91,3.000537056928034,0.13043478260869565,1959.0,0.7354493014312025,1
356,DEL CARMEN,195.49,329.02,5389.03,0.0,1.683052841577574,0.37681159420289856,1976.0,0.8230050943945133,0
357,DEL CARMEN,198.0,330.0,5389.03,0.0,1.6666666666666667,0.2318840579710145,1966.0,0.8240940672423424,0
358,DEL CARMEN,206.0,281.0,5389.03,0.0,1.3640776699029127,0.2898550724637681,1970.0,0.8442031655107991,0
361,DEL CARMEN,444.0,331.0,5389.03,0.0,0.7454954954954955,0.2318840579710145,1966.0,0.8853121610966046,0
363,DEL CARMEN,200.0,322.0,5389.03,0.0,1.61,0.30434782608695654,1971.0,0.8278599529180716,0
364,DEL CARMEN,191.12,345.51,5389.03,0.0,1.807817078275429,0.7101449275362319,1999.0,0.8147136617152707,0
365,DEL CARMEN,197.0,416.0,5389.03,0.0,2.1116751269035534,0.30434782608695654,1971.0,0.794520226313206,0
368,DEL CARMEN,98.0,150.0,5389.03,803.89,1.530612244897959,0.3333333333333333,1973.0,0.8331358095610198,0
369,DEL CARMEN,98.0,130.0,5389.03,737.51,1.3265306122448979,0.3333333333333333,1973.0,0.8466984230390362,0
370,DEL CARMEN,200.53,253.01,5389.03,0.0,1.2617064778337406,0.3333333333333333,1973.0,0.8510064279664571,0
371,DEL CARMEN,423.0,236.0,5389.03,0.0,0.557919621749409,0.2318840579710145,1966.0,0.8977778545563595,0
372,DEL CARMEN,408.0,356.0,5389.03,0.0,0.8725490196078431,0.5507246376811594,1988.0,0.8768685896876822,0
373,DEL CARMEN,199.0,291.0,5389.03,0.0,1.4623115577889447,0.4057971014492754,1978.0,0.837674855076778,0
374,DEL CARMEN,173.0,251.0,5389.03,583.33,1.4508670520231215,0.3333333333333333,1973.0,0.8384354203767072,0
376,DEL CARMEN,122.5,219.16,5389.03,547.43,1.7890612244897959,0.2463768115942029,1967.0,0.81596011585246,0
377,DEL CARMEN,122.5,162.9,5389.03,602.34,1.329795918367347,0.2463768115942029,1967.0,0.8464814212233878,0
378,DEL CARMEN,201.05,276.25,5389.03,1294.45,1.374036309375777,0.5507246376811594,1988.0,0.843541346138906,0
383,DEL CARMEN,340.0,464.0,5389.03,1651.46,1.3647058823529412,0.3188405797101449,1972.0,0.8441614165178541,0
384,DEL CARMEN,62.0,214.0,5389.03,771.76,3.4516129032258065,0.21739130434782608,1965.0,0.7054722414034341,1
385,DEL CARMEN,69.0,240.0,5389.03,626.09,3.4782608695652173,0.21739130434782608,1965.0,0.7037013026729946,1
386,DEL CARMEN,77.0,266.0,5389.03,718.43,3.4545454545454546,0.2608695652173913,1968.0,0.7052773534091752,1
388,DEL CARMEN,208.0,405.0,5389.03,0.0,1.9471153846153846,0.17391304347826086,1962.0,0.8054563411888183,0
389,DEL CARMEN,272.0,211.0,5389.03,677.04,0.7757352941176471,0.463768115942029,1982.0,0.8833025206648147,0
390,DEL CARMEN,206.0,273.0,5389.03,724.11,1.325242718446602,0.2608695652173913,1968.0,0.8467840123473926,0
391,DEL CARMEN,445.43,263.68,5389.03,1380.77,0.5919673124845655,0.3333333333333333,1973.0,0.8955151537769857,0
397,DEL CARMEN,302.0,349.0,5389.03,0.0,1.1556291390728477,0.3188405797101449,1972.0,0.858055989093971,0
399,DEL CARMEN,138.0,228.0,5389.03,644.31,1.6521739130434783,0.3333333333333333,1973.0,0.825057209358897,0
402,DEL CARMEN,191.0,287.0,5389.03,0.0,1.5026178010471205,0.5942028985507246,1991.0,0.8349962308862765,0
